10 flow networks in WDG1.txt.

** G1: |V|=15, V={0..14}
(u, v, weight) E = { 
(u, v, weight) E = { 
      ( 0,  3, 75.215)
      ( 0,  5, 91.773)
      ( 0,  8, 53.839)
      ( 0, 12, 88.553)
      ( 0, 13, 27.641)
      ( 1,  4,  9.840)
      ( 1, 12, 32.460)
      ( 1, 14,  1.552)
      ( 2,  3,  2.724)
      ( 2,  5, 70.205)
      ( 2,  6, 82.937)
      ( 2,  7, 87.894)
      ( 3,  6, 87.293)
      ( 3, 10, 21.579)
      ( 3, 14, 13.647)
      ( 4,  3, 86.544)
      ( 4,  5, 55.543)
      ( 4,  7, 50.266)
      ( 4,  9, 80.374)
      ( 5,  2, 63.885)
      ( 5,  9, 46.305)
      ( 5, 10, 89.924)
      ( 5, 14,  7.383)
      ( 6,  1, 41.668)
      ( 6,  2, 17.272)
      ( 6,  4, 18.462)
      ( 6,  8, 93.812)
      ( 7,  4, 91.673)
      ( 7, 14, 87.650)
      ( 8,  1, 64.827)
      ( 8, 12, 76.487)
      ( 9,  3, 61.599)
      ( 9, 13, 13.325)
      (10,  3, 95.653)
      (10,  9, 40.669)
      (10, 11, 28.362)
      (11,  1, 71.042)
      (11,  6, 97.989)
      (11,  9,  5.941)
      (11, 10, 45.102)
      (11, 13, 23.291)
      (12,  5, 78.652)
      (12,  9, 20.342)
      (13,  1, 66.892)
      (13,  4, 36.556)
      (13,  8, 59.028)
      (13, 11, 82.145)
      (13, 12, 71.357) }
------------------------- 

** G6: |V|=20, V={0..19}
(u, v, weight) E = { 
      ( 0,  3, 14.237)
      ( 0,  5, 24.886)
      ( 0, 15, 51.827)
      ( 0, 18, 47.580)
      ( 1,  3,  6.029)
      ( 1,  6, 20.879)
      ( 1,  9, 52.613)
      ( 1, 10, 18.636)
      ( 1, 12,  4.374)
      ( 1, 15, 21.944)
      ( 2,  4,  9.353)
      ( 2,  5, 21.606)
      ( 2,  6, 13.531)
      ( 2,  7, 52.160)
      ( 2,  9, 17.434)
      ( 2, 12, 23.938)
      ( 2, 17, 82.683)
      ( 2, 19, 44.566)
      ( 3, 11, 38.836)
      ( 3, 17, 53.820)
      ( 4, 11,  3.863)
      ( 4, 12, 47.213)
      ( 4, 19, 88.045)
      ( 5,  1, 86.721)
      ( 5,  8, 72.506)
      ( 5, 17, 98.721)
      ( 5, 18, 92.788)
      ( 6,  2, 79.527)
      ( 6,  8,  3.878)
      ( 6, 13, 61.613)
      ( 6, 14, 45.761)
      ( 6, 16, 78.078)
      ( 7,  2, 93.470)
      ( 7,  4, 65.584)
      ( 7,  6, 94.530)
      ( 7, 14, 90.611)
      ( 7, 18, 25.926)
      ( 8,  2, 63.622)
      ( 8,  5, 24.906)
      ( 8,  9, 87.593)
      ( 8, 13, 66.992)
      ( 8, 16, 64.371)
      ( 8, 19, 49.141)
      ( 9,  1, 16.713)
      ( 9,  5,  8.507)
      ( 9,  6, 28.427)
      ( 9, 18, 94.483)
      ( 9, 19, 15.329)
      (10,  2, 37.438)
      (10,  5, 35.313)
      (10,  7, 44.735)
      (10, 14, 94.512)
      (10, 16, 69.567)
      (10, 19, 12.720)
      (11,  3, 29.713)
      (11, 13, 23.920)
      (11, 17, 74.478)
      (12,  1, 43.243)
      (12,  2, 29.689)
      (12,  5,  4.157)
      (12,  6, 87.133)
      (12,  7, 54.223)
      (12, 15, 36.177)
      (12, 16, 29.908)
      (12, 18, 58.486)
      (12, 19, 46.521)
      (13,  1, 56.710)
      (13,  2, 47.125)
      (13,  3,  8.229)
      (13,  7,  6.000)
      (13, 12, 57.581)
      (13, 14, 65.757)
      (13, 16, 64.023)
      (13, 18, 84.256)
      (14,  1,  5.859)
      (14, 15, 86.043)
      (14, 18, 97.262)
      (14, 19, 74.657)
      (15,  3, 27.391)
      (15,  7, 37.183)
      (15, 14, 54.734)
      (16,  1, 95.075)
      (16,  8, 59.916)
      (16, 13, 56.265)
      (17,  6, 94.320)
      (17, 10, 26.785)
      (17, 12, 12.839)
      (18,  3, 96.729)
      (18,  4, 79.222)
      (18,  6, 67.882)
      (18, 10, 44.726)
      (18, 13, 29.229)
      (18, 14,  3.078)
      (18, 17, 55.222)
      (18, 19, 95.063) }
------------------------- 

** G7: |V|=20, V={0..19}
(u, v, weight) E = { 
      ( 0,  6,  0.402)
      ( 0,  8, 60.583)
      ( 0,  9, 36.117)
      ( 0, 12, 90.825)
      ( 0, 14, 77.718)
      ( 0, 15, 25.836)
      ( 0, 16, 29.344)
      ( 0, 17, 22.298)
      ( 1,  6, 85.228)
      ( 1,  8, 32.352)
      ( 1, 14, 62.920)
      ( 1, 19,  4.182)
      ( 2,  3, 29.983)
      ( 2,  7, 86.489)
      ( 2, 11, 28.832)
      ( 2, 14, 49.406)
      ( 2, 17, 96.440)
      ( 2, 18, 14.137)
      ( 3,  8, 19.586)
      ( 3,  9, 11.268)
      ( 3, 16,  8.090)
      ( 3, 19, 18.940)
      ( 4,  2, 19.944)
      ( 4,  5, 62.632)
      ( 4,  6,  6.663)
      ( 4,  9, 46.636)
      ( 4, 10, 37.545)
      ( 4, 13,  6.374)
      ( 4, 17,  0.711)
      ( 5,  1, 84.851)
      ( 5, 10, 59.642)
      ( 5, 17, 60.831)
      ( 6,  4,  2.974)
      ( 6,  9, 38.113)
      ( 6, 10, 51.449)
      ( 6, 11, 67.703)
      ( 6, 17, 74.084)
      ( 7,  3, 83.009)
      ( 7,  8, 83.842)
      ( 7, 13, 33.780)
      ( 7, 15, 98.861)
      ( 7, 16, 46.405)
      ( 7, 17, 24.536)
      ( 8,  7, 46.130)
      ( 8,  9, 85.651)
      ( 8, 10, 61.377)
      ( 8, 13, 18.165)
      ( 8, 17, 91.881)
      ( 8, 18, 46.888)
      ( 9,  1, 48.063)
      ( 9,  3, 33.106)
      ( 9, 11, 96.541)
      ( 9, 18, 90.374)
      (10,  1, 24.915)
      (10,  5, 90.278)
      (10,  6, 91.866)
      (10,  7, 63.533)
      (10, 11, 97.980)
      (10, 14, 49.629)
      (11,  1, 30.661)
      (11,  3,  9.265)
      (11,  4, 22.660)
      (11, 13, 54.453)
      (11, 16, 12.532)
      (11, 19, 87.875)
      (12,  1, 66.103)
      (12,  2, 53.233)
      (12,  3,  4.523)
      (12,  5, 49.963)
      (12,  6, 46.785)
      (12,  7, 76.227)
      (12,  9, 94.802)
      (12, 11,  4.079)
      (12, 16, 58.077)
      (13,  5, 92.567)
      (13,  6, 34.000)
      (13,  9, 88.425)
      (13, 10,  6.597)
      (13, 11, 87.292)
      (14,  3, 42.636)
      (14,  4, 15.864)
      (14, 10, 57.909)
      (15,  5, 12.306)
      (15,  8, 25.044)
      (15,  9, 65.036)
      (15, 11, 82.715)
      (15, 18, 24.986)
      (16,  2, 13.590)
      (16,  6, 92.408)
      (16,  8, 71.022)
      (16,  9, 45.792)
      (16, 11, 91.568)
      (16, 18, 39.720)
      (17,  1, 42.888)
      (17,  5, 53.026)
      (17,  9, 64.041)
      (17, 11, 35.358)
      (18,  5, 81.271)
      (18,  6, 76.578)
      (18,  9, 29.095)
      (18, 11, 38.855) }
------------------------- 

** G8: |V|=20, V={0..19}
(u, v, weight) E = { 
      ( 0,  1, 35.542)
      ( 0,  7, 47.978)
      ( 0,  8, 70.007)
      ( 0,  9, 72.373)
      ( 0, 10, 34.344)
      ( 0, 11, 60.648)
      ( 0, 14, 31.416)
      ( 0, 15,  9.675)
      ( 0, 16, 42.876)
      ( 0, 19, 74.626)
      ( 1, 11, 71.200)
      ( 1, 14,  8.142)
      ( 2,  1, 81.762)
      ( 2,  5, 94.091)
      ( 2, 11,  5.030)
      ( 2, 12, 60.621)
      ( 2, 14, 30.557)
      ( 2, 16, 94.502)
      ( 2, 17, 75.391)
      ( 3,  5, 25.764)
      ( 3,  7, 25.891)
      ( 3, 11, 19.535)
      ( 3, 16,  3.231)
      ( 3, 17, 59.679)
      ( 4,  1,  2.237)
      ( 4,  2, 36.957)
      ( 4,  9, 82.107)
      ( 4, 11, 78.065)
      ( 4, 14, 83.386)
      ( 4, 15, 39.012)
      ( 4, 16, 21.474)
      ( 5,  6, 72.215)
      ( 5, 11, 43.747)
      ( 5, 16, 20.738)
      ( 6,  1,  0.833)
      ( 6,  3, 94.697)
      ( 6, 14,  7.999)
      ( 6, 17, 50.944)
      ( 7,  9,  7.344)
      ( 7, 10, 62.000)
      ( 7, 11, 37.217)
      ( 7, 13, 15.456)
      ( 7, 16, 86.159)
      ( 7, 19, 90.967)
      ( 8,  2, 65.558)
      ( 9,  3, 49.635)
      ( 9,  4, 37.174)
      ( 9,  6,  1.335)
      ( 9, 14, 61.763)
      ( 9, 17, 55.109)
      (10,  4, 60.115)
      (10,  7, 98.306)
      (10,  9, 23.247)
      (10, 17, 12.115)
      (11,  1, 73.872)
      (11,  3, 41.668)
      (11,  4,  9.280)
      (12,  1, 26.838)
      (12,  7, 55.786)
      (12, 13, 68.612)
      (12, 14, 75.857)
      (12, 15, 86.670)
      (13,  3, 97.154)
      (13,  4,  4.058)
      (14,  1, 93.125)
      (14,  7, 86.360)
      (14,  9, 45.545)
      (14, 16, 48.002)
      (14, 17,  1.910)
      (15,  8, 97.604)
      (15, 12, 35.683)
      (15, 13, 26.129)
      (15, 14, 46.724)
      (16,  6, 89.771)
      (16,  7, 53.516)
      (16, 11, 96.685)
      (16, 17, 27.827)
      (17,  3, 58.067)
      (17,  5, 24.818)
      (17,  6, 36.389)
      (17,  8, 85.397)
      (17, 11, 29.665)
      (17, 16, 40.110)
      (17, 18, 20.008)
      (18,  1, 34.534)
      (18,  3, 60.006)
      (18,  6,  7.956)
      (18,  8,  8.042)
      (18, 14, 23.920)
      (18, 16,  0.745) }
------------------------- 

** G9: |V|=20, V={0..19}
(u, v, weight) E = { 
      ( 0,  3, 56.539)
      ( 0,  9, 88.035)
      ( 0, 11, 41.121)
      ( 0, 12, 85.293)
      ( 0, 16, 75.593)
      ( 0, 19, 65.222)
      ( 1,  2, 78.983)
      ( 1,  4, 60.753)
      ( 1,  6, 25.748)
      ( 1, 10, 20.968)
      ( 1, 17, 65.920)
      ( 1, 18, 97.484)
      ( 1, 19, 23.201)
      ( 2,  1, 44.144)
      ( 2,  5, 28.491)
      ( 2, 13,  2.789)
      ( 3,  1, 28.069)
      ( 3,  6, 31.551)
      ( 3,  8, 77.663)
      ( 3, 13,  3.036)
      ( 3, 14, 89.692)
      ( 3, 15, 54.010)
      ( 4,  1, 45.348)
      ( 4,  5, 54.987)
      ( 4,  7, 76.113)
      ( 4,  8, 28.198)
      ( 4, 12, 67.119)
      ( 4, 13, 95.249)
      ( 4, 14, 23.253)
      ( 4, 17, 94.012)
      ( 4, 19, 40.373)
      ( 5,  1, 80.573)
      ( 5,  3, 18.816)
      ( 5, 10, 36.885)
      ( 5, 12, 91.885)
      ( 5, 14, 32.004)
      ( 5, 16, 46.023)
      ( 5, 18, 16.760)
      ( 5, 19, 71.391)
      ( 6,  5, 35.530)
      ( 6, 16, 11.867)
      ( 6, 17, 50.599)
      ( 6, 18, 68.558)
      ( 6, 19, 96.751)
      ( 7,  9, 26.675)
      ( 7, 12, 44.184)
      ( 7, 15, 81.469)
      ( 7, 16, 13.269)
      ( 7, 17, 15.442)
      ( 8,  5, 54.660)
      ( 8, 12, 91.529)
      ( 8, 14, 34.958)
      ( 8, 15, 11.567)
      ( 8, 17, 67.761)
      ( 9,  2, 55.541)
      ( 9,  5, 83.993)
      ( 9,  6, 93.320)
      ( 9,  7, 26.871)
      ( 9,  8, 94.515)
      ( 9, 10, 29.556)
      ( 9, 13, 73.651)
      (10,  1, 35.153)
      (10,  2, 60.700)
      (10,  3, 18.417)
      (10,  5, 19.682)
      (10,  8, 55.739)
      (10, 11, 69.217)
      (10, 12, 74.167)
      (11,  6, 58.561)
      (11,  7, 37.622)
      (11,  8, 92.626)
      (11,  9, 97.762)
      (11, 14, 21.176)
      (11, 15, 40.225)
      (11, 17,  1.730)
      (12,  1, 34.145)
      (12,  6, 69.602)
      (12,  7, 12.801)
      (12,  8, 87.944)
      (12, 10, 13.170)
      (12, 11, 27.054)
      (13,  5, 52.755)
      (13, 12, 16.579)
      (13, 16, 49.724)
      (13, 19, 52.553)
      (14,  3, 94.683)
      (14,  4, 83.479)
      (14,  6, 93.960)
      (14, 11, 71.450)
      (14, 13,  9.455)
      (14, 15, 36.523)
      (15,  5, 70.795)
      (15, 14, 73.497)
      (16,  2, 38.913)
      (16,  4, 79.689)
      (16, 11, 19.383)
      (16, 18, 63.113)
      (17,  4, 67.845)
      (17,  5, 99.483)
      (17,  8, 31.114)
      (17, 13, 26.107)
      (18,  4, 72.744)
      (18,  5, 22.767)
      (18,  9, 86.781)
      (18, 11, 82.171)
      (18, 14, 59.452)
      (18, 19, 17.255) }
------------------------- 

** G10: |V|=20, V={0..19}
(u, v, weight) E = { 
      ( 0,  2, 24.339)
      ( 0,  3, 32.091)
      ( 0,  5, 85.296)
      ( 1,  2, 59.045)
      ( 1,  4, 97.888)
      ( 1,  5,  7.459)
      ( 1, 13, 66.507)
      ( 1, 14, 11.127)
      ( 1, 15, 52.348)
      ( 1, 16,  8.622)
      ( 2,  5, 22.888)
      ( 2,  8, 93.107)
      ( 2, 10, 61.660)
      ( 2, 12,  6.580)
      ( 2, 13, 33.281)
      ( 2, 19, 49.660)
      ( 3,  2, 76.214)
      ( 3,  7,  0.116)
      ( 3,  9,  7.549)
      ( 3, 13, 16.943)
      ( 3, 15, 65.146)
      ( 3, 16, 87.478)
      ( 3, 17, 73.353)
      ( 4,  1, 32.490)
      ( 4,  2, 57.569)
      ( 4,  3, 91.343)
      ( 4, 11, 35.488)
      ( 4, 12, 51.039)
      ( 4, 17, 51.523)
      ( 5,  2, 55.722)
      ( 5,  4, 82.852)
      ( 5, 11, 19.727)
      ( 5, 13, 10.543)
      ( 5, 18,  5.787)
      ( 5, 19, 69.367)
      ( 6,  1, 56.108)
      ( 6,  3, 17.184)
      ( 6,  8, 92.517)
      ( 6,  9, 49.020)
      ( 6, 11,  8.459)
      ( 6, 19, 38.535)
      ( 7,  1, 88.494)
      ( 7, 10, 40.987)
      ( 7, 13, 92.943)
      ( 7, 14,  9.749)
      ( 7, 16, 38.142)
      ( 7, 17, 78.264)
      ( 7, 18, 35.277)
      ( 8,  2, 74.875)
      ( 8,  5, 78.178)
      ( 8,  7, 24.515)
      ( 8, 10, 23.698)
      ( 8, 16, 23.826)
      ( 8, 18, 80.097)
      ( 9,  5, 99.918)
      ( 9,  8, 23.185)
      ( 9, 11, 68.156)
      ( 9, 13, 38.045)
      (10,  5, 49.639)
      (10,  6, 68.085)
      (10, 11, 22.420)
      (10, 14, 51.525)
      (11,  2, 71.171)
      (11,  3, 23.525)
      (11,  6, 55.274)
      (11,  7, 76.017)
      (11,  9, 85.210)
      (11, 10, 50.249)
      (11, 14, 84.175)
      (11, 16, 61.717)
      (11, 17, 33.895)
      (12,  1, 84.802)
      (12, 16, 53.458)
      (13,  1, 73.294)
      (13,  2, 55.247)
      (13,  5, 10.321)
      (13, 12, 83.831)
      (13, 14, 78.783)
      (14,  3, 88.348)
      (14,  4, 85.526)
      (14,  9, 11.831)
      (14, 12, 57.454)
      (15,  7, 53.389)
      (15,  8, 22.903)
      (16,  1, 74.581)
      (16,  7, 27.792)
      (16, 10, 57.964)
      (16, 11, 38.472)
      (16, 14, 65.282)
      (17,  5, 41.525)
      (17,  8,  9.146)
      (17,  9, 63.996)
      (17, 10,  0.216)
      (17, 11, 68.951)
      (17, 12, 41.710)
      (17, 14, 78.954)
      (17, 16, 28.684)
      (18,  1, 42.728)
      (18,  2, 43.544)
      (18,  6, 11.107)
      (18, 10, 38.237)
      (18, 11, 50.640)
      (18, 13, 62.735)
      (18, 19, 43.030) }
------------------------- 

