20  Weighted Directed Graphs
** G1: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 7, 12, 26.719)
      ( 7, 14, 30.372)
      ( 8,  3, 82.722)
      ( 8,  6, 72.044)
      ( 8, 12,  5.626)
      ( 9,  0,  7.781)
      ( 9,  1, 46.849)
      ( 9,  7, 97.676)
      ( 9, 10, 28.659)
      ( 9, 13, 15.514)
      (10,  3, 41.873)
      (10,  5, 17.233)
      (10,  8, 39.287)
      (10, 14, 54.081)
      (11,  2, 51.772)
      (11,  4, 96.214)
      (11,  5,  2.000)
      (11, 10, 55.176)
      (12,  3, 10.140)
      (12,  7, 16.650)
      (12,  8, 50.628)
      (12,  9, 36.209)
      (12, 10, 34.882)
      (12, 11, 40.772)
      (12, 13, 57.453)
      (12, 14, 63.238)
      (13,  2, 56.441)
      (13,  5, 14.468)
      (13,  6, 80.594)
      (13,  8, 96.337)
      (13,  9, 32.711)
      (13, 11, 88.241)
      (13, 14, 61.858)
      (14,  7, 68.993) }
------------------------- 

** G10: |V|=15, V={0,1,...14}
(u, v, weight) E = { 
      ( 0,  6, 94.390)
      ( 0,  7, 50.280)
      ( 0,  8, 38.416)
      ( 0,  9, 37.600)
      ( 0, 10, 95.341)
      ( 1,  6, 78.733)
      ( 1,  7, 65.031)
      ( 1, 13, 94.437)
      ( 3,  0, 60.897)
      ( 3,  5, 56.092)
      ( 3,  7, 45.036)
      ( 3,  8, 59.022)
      ( 3, 11, 98.595)
      ( 3, 12, 19.740)
      ( 3, 13, 55.138)
      ( 4,  2, 94.606)
      ( 4,  8, 12.034)
      ( 4,  9, 73.891)
      ( 4, 14, 83.701)
      ( 5,  3, 39.041)
      ( 5, 10, 78.844)
      ( 5, 11, 73.885)
      ( 5, 14, 70.173)
      ( 6,  0, 33.014)
      ( 6,  4, 85.929)
      ( 6,  5, 93.619)
      ( 6, 11, 56.132)
      ( 6, 12, 28.421)
      ( 7,  9,  9.279)
      ( 7, 12, 13.736)
      ( 7, 14, 96.378)
      ( 8,  2, 62.678)
      ( 8,  4, 13.966)
      ( 8,  5, 59.835)
      ( 8, 11, 53.710)
      ( 8, 12, 19.663)
      ( 9,  4,  1.319)
      ( 9, 12, 53.682)
      ( 9, 14,  3.971)
      (10,  0, 20.869)
      (10,  2, 70.422)
      (10,  3, 42.076)
      (10,  7, 87.292)
      (10,  8, 31.488)
      (10, 12, 59.271)
      (10, 14, 40.655)
      (11,  3, 17.442)
      (11,  4, 10.645)
      (11, 10, 90.116)
      (12,  0, 47.013)
      (12,  2, 43.766)
      (12,  9, 33.831)
      (12, 13, 56.998)
      (13,  1, 39.473)
      (13,  7, 44.787)
      (14,  1, 90.066)
      (14,  4,  8.333)
      (14,  5, 98.649)
      (14,  7, 43.990)
      (14, 12, 90.636) }
------------------------- 

** G11: |V|=20, V={0,1,...19}
(u, v, weight) E = { 
      ( 0,  4, 26.978)
      ( 0,  8, 89.480)
      ( 0,  9, 71.255)
      ( 0, 11, 39.207)
      ( 0, 15, 47.146)
      ( 0, 18, 51.508)
      ( 1,  2, 93.348)
      ( 1,  5, 27.576)
      ( 1,  8,  3.422)
      ( 1, 14, 58.134)
      ( 1, 15, 24.751)
      ( 2,  1, 55.507)
      ( 2, 10, 91.641)
      ( 2, 15, 17.735)
      ( 3,  1, 16.018)
      ( 3,  5, 37.273)
      ( 3,  9, 43.146)
      ( 3, 13, 51.768)
      ( 3, 16, 11.565)
      ( 4, 11, 19.098)
      ( 4, 15, 29.197)
      ( 5,  0, 58.648)
      ( 5, 10, 39.199)
      ( 5, 19,  6.702)
      ( 6,  0, 51.573)
      ( 6,  9, 33.008)
      ( 6, 10, 45.387)
      ( 6, 12, 95.571)
      ( 6, 13,  6.380)
      ( 6, 15, 19.873)
      ( 6, 18, 46.572)
      ( 6, 19,  0.639)
      ( 7,  0,  0.826)
      ( 7,  4, 64.833)
      ( 7,  9, 24.099)
      ( 7, 10, 18.186)
      ( 7, 11, 46.435)
      ( 7, 12, 66.590)
      ( 7, 15, 34.374)
      ( 7, 19, 77.638)
      ( 8,  3, 24.694)
      ( 8,  5,  2.319)
      ( 8,  7, 93.503)
      ( 8,  9, 76.944)
      ( 8, 13,  9.162)
      ( 8, 15, 49.213)
      ( 8, 19, 65.969)
      ( 9,  3, 30.080)
      ( 9,  5, 52.114)
      ( 9,  6, 57.796)
      ( 9, 10, 25.735)
      ( 9, 14, 82.102)
      ( 9, 16, 79.260)
      (10,  2, 20.655)
      (10,  4,  3.431)
      (10,  6, 47.332)
      (10, 13, 28.146)
      (10, 17, 87.625)
      (11,  7, 59.437)
      (11,  9, 35.402)
      (11, 10, 24.981)
      (11, 15, 67.687)
      (11, 17, 87.473)
      (11, 18,  1.572)
      (11, 19, 51.446)
      (12,  0, 38.757)
      (12,  1, 96.286)
      (12,  6, 32.279)
      (12, 14, 57.984)
      (12, 17, 73.137)
      (12, 19, 84.699)
      (13,  3, 26.353)
      (13,  5, 45.114)
      (14,  1, 38.155)
      (14, 11, 72.739)
      (14, 12, 29.481)
      (14, 16, 57.189)
      (14, 17,  0.079)
      (15,  1, 18.915)
      (15,  3, 61.557)
      (15,  6, 39.102)
      (15, 10,  7.896)
      (15, 11, 54.669)
      (15, 17, 61.361)
      (15, 18, 77.707)
      (15, 19, 25.969)
      (16,  0, 40.100)
      (16,  1, 74.750)
      (16,  4, 78.612)
      (16,  6, 95.883)
      (16,  9, 75.675)
      (16, 14, 32.797)
      (16, 15, 90.786)
      (17,  0, 29.344)
      (17,  1, 44.868)
      (17,  6, 93.910)
      (17,  8, 68.380)
      (17, 10, 34.178)
      (17, 13, 31.311)
      (17, 16, 51.735)
      (17, 18, 72.354)
      (18,  0, 85.273)
      (18,  1, 77.136)
      (18,  4, 30.178)
      (18,  6, 80.530)
      (18,  9,  6.133)
      (18, 10, 85.568)
      (18, 12, 32.127)
      (18, 16, 26.973)
      (18, 17, 24.982)
      (19,  0,  8.572)
      (19,  1,  0.536)
      (19,  2, 89.049)
      (19,  7,  3.537)
      (19, 15, 60.894) }
------------------------- 

** G12: |V|=20, V={0,1,...19}
(u, v, weight) E = { 
      ( 0,  1, 45.812)
      ( 0,  2, 83.179)
      ( 0,  3,  0.759)
      ( 0,  4, 51.385)
      ( 0, 18, 71.177)
      ( 0, 19,  8.658)
      ( 1,  8, 91.453)
      ( 1, 11, 23.334)
      ( 1, 12, 77.509)
      ( 1, 16, 34.532)
      ( 1, 17, 76.333)
      ( 1, 18, 46.279)
      ( 2,  0, 44.145)
      ( 2,  3,  9.018)
      ( 2, 10, 50.255)
      ( 2, 13,  5.150)
      ( 2, 15, 19.285)
      ( 2, 16, 58.731)
      ( 2, 17, 28.522)
      ( 3,  1, 40.507)
      ( 3,  4, 33.500)
      ( 3,  8, 97.280)
      ( 3, 11, 98.483)
      ( 3, 17, 53.047)
      ( 3, 19, 95.219)
      ( 4,  1, 23.765)
      ( 4,  5, 93.806)
      ( 4,  6, 69.884)
      ( 4,  9, 32.178)
      ( 4, 13, 95.400)
      ( 4, 15, 87.317)
      ( 5, 11, 59.178)
      ( 5, 12,  5.271)
      ( 5, 14, 12.003)
      ( 6,  1, 60.829)
      ( 6,  9, 20.530)
      ( 6, 17, 38.913)
      ( 7,  3,  2.555)
      ( 7, 11, 47.963)
      ( 7, 16, 90.995)
      ( 7, 17, 73.554)
      ( 8,  0, 14.291)
      ( 8,  3, 94.740)
      ( 8,  4,  1.458)
      ( 8,  6, 28.684)
      ( 8, 13, 98.732)
      ( 8, 14, 62.156)
      ( 8, 17, 35.491)
      ( 9,  7, 17.116)
      ( 9, 11, 48.690)
      ( 9, 12, 55.664)
      ( 9, 19, 99.267)
      (10,  1, 31.943)
      (10,  2, 58.172)
      (10,  7, 71.472)
      (10,  9, 27.894)
      (10, 11, 17.508)
      (10, 12, 71.654)
      (10, 13, 82.065)
      (10, 14, 11.768)
      (10, 15, 39.148)
      (11,  0, 13.877)
      (11,  1, 66.344)
      (11,  2,  6.543)
      (11,  5, 37.578)
      (11, 10, 22.818)
      (11, 17,  8.333)
      (11, 18, 34.708)
      (12,  1, 72.205)
      (12, 10, 91.968)
      (13,  0, 63.182)
      (13,  3, 47.929)
      (13,  9, 62.350)
      (13, 15, 53.359)
      (13, 16, 49.618)
      (13, 18, 29.189)
      (13, 19, 13.462)
      (14, 11, 84.757)
      (15,  0, 85.347)
      (15,  6, 40.779)
      (15,  7, 59.266)
      (16,  2, 99.122)
      (16,  7, 93.814)
      (16, 15, 25.447)
      (17,  5, 46.597)
      (17, 13, 34.802)
      (17, 18, 95.592)
      (18,  1, 50.132)
      (18, 10, 89.910)
      (18, 19, 76.889)
      (19,  0, 33.565)
      (19,  3, 79.180)
      (19,  6, 50.898)
      (19,  8, 45.016)
      (19,  9, 22.397)
      (19, 10, 38.321)
      (19, 12, 61.974)
      (19, 14, 69.015)
      (19, 15, 49.975)
      (19, 18, 12.984) }
------------------------- 

** G13: |V|=20, V={0,1,...19}
(u, v, weight) E = { 
      ( 0,  6, 57.511)
      ( 0,  9, 75.798)
      ( 0, 11,  9.418)
      ( 0, 12, 44.135)
      ( 0, 13, 18.064)
      ( 0, 14, 43.875)
      ( 0, 15, 81.286)
      ( 0, 17, 76.842)
      ( 0, 19, 78.467)
      ( 1,  6, 26.060)
      ( 1,  9, 21.732)
      ( 1, 10, 91.833)
      ( 1, 12, 46.429)
      ( 2,  0, 88.895)
      ( 2,  3, 19.340)
      ( 2,  4, 34.610)
      ( 2,  5, 71.000)
      ( 2,  6,  7.441)
      ( 2,  9, 75.321)
      ( 2, 13, 68.800)
      ( 3,  9, 17.840)
      ( 3, 10, 74.266)
      ( 3, 12, 18.657)
      ( 3, 14, 12.756)
      ( 3, 16, 67.022)
      ( 4,  3, 88.461)
      ( 4,  9, 49.556)
      ( 4, 14, 40.742)
      ( 4, 17, 56.498)
      ( 4, 18, 29.281)
      ( 5,  4, 66.763)
      ( 5,  6, 77.578)
      ( 5,  8, 32.106)
      ( 5, 11, 73.723)
      ( 5, 13, 93.216)
      ( 5, 15, 35.190)
      ( 5, 17, 42.198)
      ( 5, 19,  2.066)
      ( 6,  2, 80.301)
      ( 6,  7, 13.210)
      ( 6,  8, 66.391)
      ( 6, 10, 24.081)
      ( 6, 11, 40.874)
      ( 7,  0, 80.410)
      ( 7,  2,  2.995)
      ( 7,  6, 40.743)
      ( 7, 11, 63.420)
      ( 7, 16, 53.034)
      ( 7, 17, 97.923)
      ( 7, 18, 63.040)
      ( 8,  1, 30.791)
      ( 8,  2, 73.543)
      ( 8, 10, 67.256)
      ( 8, 11, 52.970)
      ( 8, 16,  3.726)
      ( 9,  2, 60.992)
      ( 9,  4, 50.517)
      ( 9,  6, 65.844)
      ( 9, 11, 49.241)
      ( 9, 12, 56.647)
      ( 9, 16, 80.866)
      (10,  0, 27.458)
      (10,  1, 54.409)
      (10,  4, 66.990)
      (10,  5,  9.609)
      (10, 15, 86.427)
      (10, 18,  8.030)
      (11,  2, 74.230)
      (11,  9, 86.701)
      (11, 10, 70.971)
      (11, 14, 18.746)
      (11, 19, 99.257)
      (12,  4, 29.975)
      (12,  5, 54.595)
      (12,  7, 47.150)
      (12, 11, 29.364)
      (12, 14, 68.285)
      (13,  4, 82.736)
      (13,  5,  1.265)
      (13,  7, 43.569)
      (13,  8, 61.748)
      (13, 17, 88.501)
      (13, 19, 19.193)
      (14,  1, 43.781)
      (14,  8, 48.798)
      (14,  9, 29.020)
      (14, 11, 60.570)
      (14, 12, 93.673)
      (14, 15, 57.544)
      (14, 17, 56.537)
      (15,  3, 94.479)
      (15,  4, 47.948)
      (15,  6, 62.274)
      (15,  7, 93.286)
      (15,  8,  9.143)
      (15, 11, 40.418)
      (16,  1, 82.504)
      (16,  2, 75.443)
      (16, 14, 95.743)
      (16, 17, 38.962)
      (17,  5, 38.880)
      (17, 15, 49.096)
      (17, 18, 49.051)
      (18,  0, 70.015)
      (18,  2, 13.392)
      (18,  6,  8.404)
      (18, 14, 40.896)
      (18, 15, 21.989)
      (19,  1, 68.522)
      (19,  4, 96.922)
      (19,  9, 82.478)
      (19, 13, 91.866)
      (19, 14, 76.399) }
------------------------- 

** G14: |V|=20, V={0,1,...19}
(u, v, weight) E = { 
      ( 0, 18, 95.183)
      ( 1,  2, 49.233)
      ( 1,  3, 33.322)
      ( 1,  4, 68.479)
      ( 1,  9, 16.501)
      ( 1, 13, 33.924)
      ( 1, 14, 26.811)
      ( 1, 16, 16.462)
      ( 1, 19, 85.727)
      ( 2, 12, 35.390)
      ( 2, 15, 33.436)
      ( 3,  2, 78.115)
      ( 3,  5, 40.236)
      ( 3,  8, 24.836)
      ( 3, 12, 93.066)
      ( 3, 14, 58.385)
      ( 3, 15, 30.322)
      ( 3, 17, 93.265)
      ( 3, 18, 94.581)
      ( 4,  0, 78.849)
      ( 4,  3, 92.609)
      ( 4,  8, 62.381)
      ( 4,  9, 21.932)
      ( 4, 10, 71.947)
      ( 4, 12, 89.515)
      ( 5,  0, 78.679)
      ( 5,  1, 43.177)
      ( 5,  2, 93.337)
      ( 5,  4, 35.601)
      ( 5, 19, 98.906)
      ( 6,  1, 70.561)
      ( 6,  5, 49.230)
      ( 6, 15, 64.835)
      ( 6, 16, 97.823)
      ( 6, 19, 51.957)
      ( 7,  0, 62.237)
      ( 7,  1, 55.827)
      ( 7,  3,  3.999)
      ( 7,  6, 79.281)
      ( 7, 14, 86.149)
      ( 7, 17, 93.485)
      ( 8,  1, 69.585)
      ( 8,  3, 45.094)
      ( 8,  4, 73.768)
      ( 8, 11, 30.366)
      ( 8, 18, 97.957)
      ( 9,  2, 62.039)
      ( 9,  8, 94.723)
      ( 9, 10, 42.382)
      ( 9, 13, 43.418)
      ( 9, 16,  5.365)
      ( 9, 17, 24.952)
      (10,  1, 69.192)
      (10,  5, 47.179)
      (10,  7, 38.571)
      (10,  9, 31.968)
      (10, 11, 12.461)
      (10, 18, 88.329)
      (10, 19, 39.390)
      (11,  5, 99.981)
      (11,  6, 95.243)
      (11, 17, 46.363)
      (11, 18, 64.659)
      (11, 19, 76.842)
      (12,  3, 26.730)
      (12,  5,  8.938)
      (12,  7,  0.122)
      (12,  9, 13.529)
      (12, 14, 23.425)
      (12, 16, 52.685)
      (12, 18, 97.555)
      (12, 19, 67.729)
      (13,  4, 13.896)
      (13,  5, 78.080)
      (13,  8, 73.191)
      (13, 15, 98.195)
      (13, 19, 50.310)
      (14,  1, 20.795)
      (14,  2, 91.563)
      (14,  5,  7.061)
      (14,  9, 12.131)
      (14, 11,  4.279)
      (14, 15, 11.147)
      (14, 19, 46.028)
      (15,  1, 16.236)
      (15,  2, 89.586)
      (15, 11, 53.583)
      (15, 12, 94.631)
      (15, 13, 31.857)
      (15, 16,  3.166)
      (16,  0, 65.943)
      (16,  1, 50.143)
      (16,  3, 74.804)
      (16,  4, 19.806)
      (16,  8, 15.676)
      (16,  9,  7.322)
      (16, 12, 31.244)
      (16, 14, 75.652)
      (17,  4, 76.757)
